"YEAR","MONTH","AQI"
2014,1,131.161290322581
2015,1,131.322580645161
2016,1,97
2014,2,180.814814814815
2015,2,137.285714285714
2016,2,70.8620689655172
2014,3,133.225806451613
2015,3,130.096774193548
2016,3,132.322580645161
2014,4,128.466666666667
2015,4,105.862068965517
2016,4,105.586206896552
2014,5,108.677419354839
2015,5,105.387096774194
2016,5,111.387096774194
2014,6,116.666666666667
2015,6,114.551724137931
2016,6,125.5
2014,7,144.161290322581
2015,7,121.870967741935
2016,7,118.161290322581
2014,8,119.741935483871
2015,8,105.533333333333
2016,8,94.0322580645161
2014,9,101.766666666667
2015,9,82.5
2016,9,90.5357142857143
2014,10,158.838709677419
2015,10,105.645161290323
2014,11,118.107142857143
2015,11,153.033333333333
2014,12,88.4
2015,12,186.709677419355
