year,month,bAggr
2009,1,NA
2010,1,90.40366972
2011,1,44.87369985
2012,1,118.9223881
2013,1,193.3924222
2014,1,118.7734057
2015,1,107.9147497
2016,1,72.14670256
2009,2,65.41363636
2010,2,97.23994039
2011,2,150.2901786
2012,2,84.44202899
2013,2,123.6318927
2014,2,174.5949178
2015,2,96.73723724
2016,2,43.95953757
2009,3,80.55
2010,3,94.04654443
2011,3,57.99198718
2012,3,96.47432432
2013,3,123.3829499
2014,3,110.473755
2015,3,89.27489481
2016,3,93.12516824
2008,4,NA
2009,4,87.06818182
2010,4,80.0724234
2011,4,91.72067039
2012,4,87.83588317
2013,4,65.82517483
2014,4,95.14225941
2015,4,78.85513361
2016,4,66.5
2008,5,98.40650407
2009,5,84.0210728
2010,5,87.07191316
2011,5,65.10814607
2012,5,90.96671491
2013,5,85.2173315
2014,5,72.23989218
2015,5,60.12837838
2016,5,55.24561404
2008,6,99.79444444
2009,6,96.84067797
2010,6,109.0389381
2011,6,108.7946554
2012,6,96.63418079
2013,6,111.4860724
2014,6,59.04836415
2015,6,54.3974359
2016,6,58.66899441
2008,7,89.73594549
2009,7,105.8409742
2010,7,123.4260753
2011,7,107.3864865
2012,7,80.6497093
2013,7,68.82225237
2014,7,89.64179104
2015,7,55.08355795
2016,7,59.16172507
2008,8,65.36111111
2009,8,107.395218
2010,8,97.68343195
2011,8,103.7338004
2012,8,81.16532905
2013,8,61.93333333
2014,8,62.81582538
2015,8,44.6473755
2016,8,38.67385445
2008,9,59.31222386
2009,9,108.6554622
2010,9,122.792735
2011,9,94.96940195
2012,9,59.78431373
2013,9,90.91213389
2014,9,70.25874126
2015,9,46.84861111
2016,9,51.59583333
2008,10,84.24932615
2009,10,92.84593838
2010,10,118.7843666
2011,10,145.5568182
2012,10,94.95135135
2013,10,106.5853659
2014,10,140.6931359
2015,10,72.37432432
2016,10,82.09226594
2008,11,NA
2009,11,155.1446154
2010,11,138.3840361
2011,11,109.434965
2012,11,87.43696275
2013,11,90.70334262
2014,11,104.1912181
2015,11,124.8222222
2016,11,104.7391911
2009,12,109.0403226
2010,12,97.11574697
2011,12,108.7213997
2012,12,109.1872964
2013,12,98.50552486
2014,12,78.60893855
2015,12,161.7156463
2016,12,144.6280323
