"","Overall"
"CO",6.54342784448676
"DAY_MAX_PRECI",11.5973005843258
"EM2_CO",0.8073577494419
"EM2_NH3",8.93560952437553
"EM2_NOX",6.51936936578518
"EM2_PM10",0
"EM2_PM2.5",0
"EM2_SOX",0
"EM2_TSP",0.506827088855031
"EM2_VOC",21.2657594037636
"EM3_CO",0
"EM3_NH3",10.4865299322433
"EM3_NOX",0
"EM3_PM10",0
"EM3_PM2.5",0
"EM3_SOX",0.546607936221456
"EM3_TSP",0
"EM3_VOC",2.13531505814895
"EM4_CO",0
"EM4_NH3",0
"EM4_NOX",1.98131647303265
"EM4_PM10",1.58725238023638
"EM4_PM2.5",0
"EM4_SOX",0
"EM4_TSP",0
"EM4_VOC",4.52061206119502
"EM5_CO",0
"EM5_NH3",0
"EM5_NOX",0
"EM5_PM10",0
"EM5_PM2.5",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_VOC",0
"EM6_CO",0
"EM6_NH3",0
"EM6_NOX",0
"EM6_PM10",0
"EM6_PM2.5",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_VOC",0
"EM7_CO",3.64996637969863
"EM7_NH3",3.98089711450374
"EM7_NOX",6.39988266278731
"EM7_PM10",3.99028058478453
"EM7_PM2.5",0
"EM7_SOX",5.16640431097901
"EM7_TSP",3.99028058478453
"EM7_VOC",5.27544533972262
"EM8_CO",4.97279736843989
"EM8_NH3",0
"EM8_NOX",1.34518240979924
"EM8_PM10",1.02591473128529
"EM8_PM2.5",0
"EM8_SOX",0
"EM8_TSP",0
"EM8_VOC",2.48097093904294
"EM9_CO",0
"EM9_NH3",32.6181800650181
"EM9_NOX",0
"EM9_PM10",0
"EM9_PM2.5",0
"EM9_SOX",0
"EM9_TSP",0
"EM9_VOC",0
"HOUR_MAX_PRECI",27.5824653270712
"MAX_INST_WIND_DIR",4.03979072457792
"MAX_INST_WIND_SPED",4.39936509888654
"MAX_NEW_SNOW_DEP",8.30474569762653
"MAX_SEA_PRES",54.0426764103413
"MAX_SNOW_DEP",5.93812274040451
"MAX_TEMP",13.4320475770237
"MAX_WATER_PRES",79.8303033103405
"MAX_WIND_DIR",3.71314656595594
"MAX_WIND_SPED",4.67832429138072
"MEAN_DEW_TEMP",66.8763910265616
"MEAN_HUM",2.59422671307179
"MEAN_MAX_TEMP",54.5479622856753
"MEAN_MIN_GRA_TEMP",77.956181052656
"MEAN_MIN_TEMP",81.6404444191429
"MEAN_PRES",11.2256709669098
"MEAN_SEA_PRES",88.5312243110118
"MEAN_SURF_TEMP",58.6858256862932
"MEAN_TEMP",29.3208912446321
"MEAN_WATER_PRES",60.2011155185617
"MEAN_WIND_SPED",0.519032418306111
"MIN_GRA_TEMP",45.6641849230039
"MIN_HUM",2.91861085914205
"MIN_SEA_PRES",51.3227911829384
"MIN_TEMP",85.6499174786189
"MIN_WATER_PRES",27.8312209086841
"MONTH",88.8440771038255
"NO2",58.0289383897915
"O3",7.78352872096013
"PERC_SUN",36.4091708634828
"POP_DEN",9.07044423176422
"SO2",53.5328688906872
"SUM_PRECI",59.7534063841005
"SUM_SNOW",14.8061119876998
"SUM_SUN",32.3175238399016
"TEN_MINU_MAX_PRECI",19.6839603607242
"X_COORD",24.4385747782445
"Y_COORD",100
"YD_FREQ",27.4456368098759
"YEAR",20.4525025993219
