"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",21.1293602329491
"MONTH","MONTH",14.6589785416821
"MAX_WATER_PRES","MAX_WATER_PRES",11.2139790668634
"YD_FREQ","YD_FREQ",6.24980877433587
"SO2","SO2",5.19550417293623
"Y_COORD","Y_COORD",4.54827191343928
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",4.37177331297263
"MEAN_SEA_PRES","MEAN_SEA_PRES",2.98809814705093
"MAX_SEA_PRES","MAX_SEA_PRES",2.61889860689298
"EM9_NH3","EM9_NH3",2.41408477652105
"NO2","NO2",2.23199600841834
"SUM_SUN","SUM_SUN",1.78032949933505
"EM2_VOC","EM2_VOC",1.31360614762062
"EM7_NOX","EM7_NOX",1.2188384516738
"SUM_PRECI","SUM_PRECI",1.10985622168378
"MIN_SEA_PRES","MIN_SEA_PRES",1.08619039613708
"X_COORD","X_COORD",1.08510214006197
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",1.06875244401566
"EM2_NH3","EM2_NH3",0.813435310239655
"POP_DEN","POP_DEN",0.741028272026543
"YEAR","YEAR",0.688036788772581
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.665854080163993
"CO","CO",0.661866256390597
"MAX_TEMP","MAX_TEMP",0.493605376657588
"MIN_WATER_PRES","MIN_WATER_PRES",0.47515424159246
"EM3_NH3","EM3_NH3",0.461901546027488
"O3","O3",0.433660541388765
"EM4_VOC","EM4_VOC",0.42601603973825
"MIN_TEMP","MIN_TEMP",0.418686657745748
"PERC_SUN","PERC_SUN",0.390629623124315
"EM4_NOX","EM4_NOX",0.38670620086725
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.380517457318971
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.377124817188262
"EM4_TSP","EM4_TSP",0.360121351534133
"EM2_TSP","EM2_TSP",0.352120779948677
"TEN_MINU_MAX_PRECI","TEN_MINU_MAX_PRECI",0.329933286539346
"MAX_WIND_SPED","MAX_WIND_SPED",0.309119955449397
"EM2_PM10","EM2_PM10",0.274288208582648
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.262276160108677
"MAX_INST_WIND_SPED","MAX_INST_WIND_SPED",0.2580468512901
"EM2_CO","EM2_CO",0.245108825213769
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.244729560011186
"EM8_CO","EM8_CO",0.238711267984878
"HOUR_MAX_PRECI","HOUR_MAX_PRECI",0.226298036176317
"EM3_SOX","EM3_SOX",0.200298314554847
"EM3_PM10","EM3_PM10",0.191647537857718
"MIN_GRA_TEMP","MIN_GRA_TEMP",0.168404309398087
"EM8_PM10","EM8_PM10",0.156308291155539
"EM6_VOC","EM6_VOC",0.152929057608956
"EM3_TSP","EM3_TSP",0.150046070213381
"EM8_TSP","EM8_TSP",0.12546783388968
"MEAN_PRES","MEAN_PRES",0.124194940262005
"EM8_SOX","EM8_SOX",0.100005009892908
"SUM_SNOW","SUM_SNOW",0.0980414651268762
"EM4_PM10","EM4_PM10",0.0954078483429813
"EM7_NH3","EM7_NH3",0.0933870147456793
"EM8_VOC","EM8_VOC",0.0894832075914609
"EM8_NH3","EM8_NH3",0.088880424797366
"EM3_CO","EM3_CO",0.0866065394097507
"EM4_SOX","EM4_SOX",0.0843865669084558
"MAX_WIND_DIR","MAX_WIND_DIR",0.0780271677979108
"EM8_NOX","EM8_NOX",0.0749114397948814
"EM5_VOC","EM5_VOC",0.0583294580496501
"MEAN_TEMP","MEAN_TEMP",0.0580298687740821
"EM7_CO","EM7_CO",0.0576182280908471
"EM2_SOX","EM2_SOX",0.0534127399538325
"EM7_TSP","EM7_TSP",0.0401410220037009
"EM4_CO","EM4_CO",0.0389110575594436
"MIN_HUM","MIN_HUM",0.0378589202152489
"EM7_SOX","EM7_SOX",0.0365259706744878
"EM3_NOX","EM3_NOX",0.031973301173708
"EM2_NOX","EM2_NOX",0.0297671782661788
"MEAN_HUM","MEAN_HUM",0.0279999487147327
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0.0260910578712909
"EM9_CO","EM9_CO",0.0234762451412653
"EM9_NOX","EM9_NOX",0.0231909264086973
"EM9_SOX","EM9_SOX",0.0172876377624019
"EM4_NH3","EM4_NH3",0.016776823689604
"EM7_VOC","EM7_VOC",0.0167151729473656
"EM3_VOC","EM3_VOC",0.0114125821397688
"EM9_TSP","EM9_TSP",0.0108643703903628
"EM9_VOC","EM9_VOC",0.0103993121045703
"MAX_SNOW_DEP","MAX_SNOW_DEP",0.00837628625413932
"EM9_PM10","EM9_PM10",0.00471259596384409
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.00328990983083631
"EM2_PM2.5","EM2_PM2.5",0
"EM3_PM2.5","EM3_PM2.5",0
"EM4_PM2.5","EM4_PM2.5",0
"EM5_CO","EM5_CO",0
"EM5_NOX","EM5_NOX",0
"EM5_SOX","EM5_SOX",0
"EM5_TSP","EM5_TSP",0
"EM5_PM10","EM5_PM10",0
"EM5_NH3","EM5_NH3",0
"EM5_PM2.5","EM5_PM2.5",0
"EM6_CO","EM6_CO",0
"EM6_NOX","EM6_NOX",0
"EM6_SOX","EM6_SOX",0
"EM6_TSP","EM6_TSP",0
"EM6_PM10","EM6_PM10",0
"EM6_NH3","EM6_NH3",0
"EM6_PM2.5","EM6_PM2.5",0
"EM7_PM10","EM7_PM10",0
"EM7_PM2.5","EM7_PM2.5",0
"EM8_PM2.5","EM8_PM2.5",0
"EM9_PM2.5","EM9_PM2.5",0
