variable,degree,PM10
SO2,-30,-1.922413159
CO,-30,0.131061843
O3,-30,0.633823309
NO2,-30,-1.527631377
MEAN_PRES,-30,0.94064896
MEAN_SEA_PRES,-30,3.224969989
MAX_SEA_PRES,-30,4.557466569
MIN_SEA_PRES,-30,3.045320399
MAX_WATER_PRES,-30,1.229249455
SUM_PRECI,-30,0.465732754
MEAN_WIND_SPED,-30,0.965480375
SUM_SUN,-30,-1.053574207
BEIJING_PM2.5,-30,1.483052275
BEIJIING_PM2.5_STD,-30,-0.498078454
POP_DEN,-30,-0.03787624
YD_FREQ,-30,-0.349901847
SHANGHAI_PM2.5,-30,-3.450570974
SHANGHAI_PM2.5_STD,-30,-0.450194201
BEIJING_AQI,-30,-3.350065559
TIANJIN_AQI,-30,-1.383021429
SO2,-10,-0.642153828
CO,-10,0.03030428
O3,-10,0.118025164
NO2,-10,-0.484650486
MEAN_PRES,-10,0.94064896
MEAN_SEA_PRES,-10,3.224969989
MAX_SEA_PRES,-10,4.557466569
MIN_SEA_PRES,-10,3.045320399
MAX_WATER_PRES,-10,0.378134771
SUM_PRECI,-10,0.135789323
MEAN_WIND_SPED,-10,0.284833558
SUM_SUN,-10,-0.447858322
BEIJING_PM2.5,-10,0.327622099
BEIJIING_PM2.5_STD,-10,-0.157059764
POP_DEN,-10,-0.004432658
YD_FREQ,-10,0.002881893
SHANGHAI_PM2.5,-10,-0.895059785
SHANGHAI_PM2.5_STD,-10,-0.123657753
BEIJING_AQI,-10,-0.914541618
TIANJIN_AQI,-10,-0.340535579
SO2,10,0.630172311
CO,10,-0.002697777
O3,10,-0.043168018
NO2,10,0.431380357
MEAN_PRES,10,-2.602061022
MEAN_SEA_PRES,10,-0.994425174
MAX_SEA_PRES,10,1.817877641
MIN_SEA_PRES,10,-2.257471784
MAX_WATER_PRES,10,-0.261839353
SUM_PRECI,10,-0.122536469
MEAN_WIND_SPED,10,-0.221193663
SUM_SUN,10,0.50055963
BEIJING_PM2.5,10,0.093303608
BEIJIING_PM2.5_STD,10,0.179861625
POP_DEN,10,-0.036433049
YD_FREQ,10,-0.000838155
SHANGHAI_PM2.5,10,0.759246596
SHANGHAI_PM2.5_STD,10,0.08923237
BEIJING_AQI,10,0.759240902
TIANJIN_AQI,10,0.418517565
SO2,30,1.986267197
CO,30,0.071296468
O3,30,-0.065430614
NO2,30,1.165239112
MEAN_PRES,30,-2.604811648
MEAN_SEA_PRES,30,-0.994425174
MAX_SEA_PRES,30,1.817877641
MIN_SEA_PRES,30,-2.257471784
MAX_WATER_PRES,30,-0.524219709
SUM_PRECI,30,-0.327095277
MEAN_WIND_SPED,30,-0.559167452
SUM_SUN,30,1.459388859
BEIJING_PM2.5,30,0.702817488
BEIJIING_PM2.5_STD,30,0.509406938
POP_DEN,30,0.001282913
YD_FREQ,30,0.4353288
SHANGHAI_PM2.5,30,1.710015703
SHANGHAI_PM2.5_STD,30,0.238713562
BEIJING_AQI,30,1.301587392
TIANJIN_AQI,30,1.089451684
